stage,n_trials,rt_mean_ms,rt_median_ms,rt_median_agree_ms,rt_median_disagree_ms,left_choice_rate
valence,720,2068.331,1509.000,1408.000,1830.000,0.463889
arousal,720,2264.743,1515.500,1460.000,1654.500,0.527778
